stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"55617","55617",Santa Clara Av + Crescent St,37.814597,-122.24871,,"","","","","","0",""
"58477","58477",Santa Clara Av + Elwood Av,37.815991,-122.249283,,"","","","","","0",""
"51464","51464",Santa Clara Av + Everett St,37.764465,-122.240394,,"","","","","","0",""
"56661","56661",Santa Clara Av + Grand St,37.771552,-122.256026,,"","","","","","0",""
"52533","52533",Santa Clara Av + Grand St,37.771537,-122.256317,,"","","","","","0",""
"54558","54558",Santa Clara Av + Harrison St,37.819715,-122.253948,,"","","","","","0",""
"51474","51474",Santa Clara Av + Morton St,37.772979,-122.262376,,"","","","","","0",""
"51475","51475",Santa Clara Av + Morton St,37.772816,-122.261859,,"","","","","","0",""
"51476","51476",Santa Clara Av + Mozart St,37.773203,-122.268865,,"","","","","","0",""
"51911","51911",Santa Clara Av + Oakland Av,37.819029,-122.253269,,"","","","","","0",""
"51471","51471",Santa Clara Av + Oak St,37.766168,-122.2436,,"","","","","","0",""
"53370","53370",Santa Clara Av + Oak St,37.766038,-122.243794,,"","","","","","0",""
"55511","55511",Santa Clara Av + Park St,37.765284,-122.241692,,"","","","","","0",""
"59255","59255",Santa Clara Av + Park St,37.765368,-122.242085,,"","","","","","0",""
"57373","57373",Santa Clara Av + Stanton St,37.772773,-122.259788,,"","","","","","0",""
"55994","55994",Santa Clara Av + Stanton St,37.772913,-122.259887,,"","","","","","0",""
"55634","55634",Santa Clara Av + Valle Vista Av,37.813714,-122.248276,,"","","","","","0",""
"57377","57377",Santa Clara Av + Vernon St,37.817589,-122.250785,,"","","","","","0",""
"51461","51461",Santa Clara Av + Walnut St,37.767416,-122.246484,,"","","","","","0",""
"58944","58944",Santa Clara Av + Walnut St,37.767192,-122.246334,,"","","","","","0",""
"59992","59992",Santa Clara Av + Webster St,37.773272,-122.276436,,"","","","","","0",""
"51481","51481",Santa Clara Av + Willow St,37.768305,-122.248899,,"","","","","","0",""
"51119","51119",Santa Clara Av + Willow St,37.768483,-122.248904,,"","","","","","0",""
"52707","52707",Santa Clara St + Jackson St,37.649445,-122.091076,,"","","","","","0",""
"53450","53450",Santa Clara St + Ocie Way,37.659164,-122.10033,,"","","","","","0",""
"56470","56470",Santa Clara St + Ocie Way,37.659256,-122.100723,,"","","","","","0",""
"51080","51080",Santa Clara St + Redbud Ln,37.662461,-122.102206,,"","","","","","0",""
"58112","58112",Santa Clara St + Redbud Ln,37.66227,-122.101989,,"","","","","","0",""
"51410","51410",Santa Clara St + Santa Clara Way,37.665582,-122.102292,,"","","","","","0",""
"59660","59660",Santa Clara St + W A St,37.666116,-122.103416,,"","","","","","0",""
"55670","55670",Schafer Rd + Gading Rd (Glassbrook School),37.640932,-122.080906,,"","","","","","0",""
"59981","59981",Schafer Rd + Gading Rd (Glassbrook School),37.640817,-122.080719,,"","","","","","0",""
"53595","53595",Schafer Rd + Sunvale Ct,37.640992,-122.077089,,"","","","","","0",""
"59982","59982",Schafer Rd + Tyrrell Av,37.64087,-122.076775,,"","","","","","0",""
"52367","52367",School St + Coolidge Av,37.794569,-122.212269,,"","","","","","0",""
"52368","52368",School St + Coolidge Av,37.79491,-122.212753,,"","","","","","0",""
"58890","58890",School St + Curran Av,37.793568,-122.210023,,"","","","","","0",""
"51919","51919",School St + Curran Av,37.793673,-122.20998,,"","","","","","0",""
"59088","59088",School St + Laurel Av,37.792635,-122.207645,,"","","","","","0",""
"55627","55627",School St + Laurel Av,37.792669,-122.207999,,"","","","","","0",""
"58455","58455",Seawall Dr + University Av,37.862813,-122.317278,,"","","","","","0",""
"55604","55604",Seminary Av + Bancroft Av,37.770728,-122.191454,,"","","","","","0",""
"55637","55637",Seminary Av + Bromley Av,37.767138,-122.196566,,"","","","","","0",""
"55614","55614",Seminary Av + Bromley Av,37.76742,-122.196375,,"","","","","","0",""
"55717","55717",Seminary Av + Camden St (MacArthur Blvd),37.775283,-122.185413,,"","","","","","0",""
"58655","58655",Seminary Av + Camden St (MacArthur Blvd),37.775296,-122.185597,,"","","","","","0",""
"54484","54484",Seminary Av + Div 4 Gate (Near San Leandro St),37.761349,-122.205021,,"","","","","","0",""
